Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
開案縣市_1,開案縣市_2,開案縣市_3,年度,機關名稱  ,標案案號,標案名稱,招標方式,標的分類,公告日期,決標金額,決標公告,無法決標,功能選項,關鍵字,決標方式,預算金額,擴充,擴充金額,補助,投標廠商數,得標廠商,投標廠商1,投標廠商2
縣市政府,宜蘭縣,公所,111,宜蘭縣礁溪鄉公所,111-Kevin-01,112年度礁溪鄉監錄系統租賃案,公開招標,財物類,111/12/23,1836000,1,,檢視,(租賃)&(影像),最有利標,1836000,後續擴充至113年12月31日止之權利,1836000,,1,聯禾有線電視股份有限公司,,
縣市政府,宜蘭縣,警察局,111,宜蘭縣政府警察局,YCPB-1101209,111年治安與交通要點監錄系統網路與視訊管理平台租賃案,限制性招標(未經公開評選或公開徵求),財物類,111/01/07,33000000,1,,檢視,(租賃)&(監錄),"標案案號:941025
於94年一直延伸擴充",,,,,1,中華電信股份有限公司,,
縣市政府,宜蘭縣,警察局,111,宜蘭縣政府警察局,YCPB1111206,112年治安與交通要點監錄系統網路與視訊管理平台租賃案,限制性招標(未經公開評選或公開徵求),財物類,111/12/30,39876000,1,,檢視,(租賃)&(監錄),"標案案號:941025
於94年一直延伸擴充",,,,,1,中華電信股份有限公司,,
縣市政府,宜蘭縣,公所,111,宜蘭縣五結鄉公所,11065,「五結鄉111年清淨家園環境衛生錄影監視系統租賃採購案」,公開取得報價單或企劃書,勞務類,111/01/03,648000,1,,檢視,(租賃)&(監視),參考最有利標精神,720000,X,,,1,聯禾有線電視股份有限公司,,
縣市政府,宜蘭縣,公所,111,宜蘭縣員山鄉公所,1110101,員山鄉111年監視系統租賃案(後續擴充),限制性招標(未經公開評選或公開徵求),勞務類,111/01/24,1795200,1,,檢視,(租賃)&(監視),原公告案號：1091210,1795200,,,,1,聯禾有線電視股份有限公司,,
縣市政府,宜蘭縣,公所,111,宜蘭縣宜蘭市公所,111-A005,111年度宜蘭市南北館市場及周邊道路監錄系統租賃案開口契約,公開取得報價單或企劃書,財物類,111/02/07,192000,1,,檢視,(租賃)&(影像),參考最有利標精神,192000,保留增購至112年12月31日之權利,192000,,1,聯禾有線電視股份有限公司,,
縣市政府,宜蘭縣,公所,111,宜蘭縣礁溪鄉公所,110-changlc-01,110年度礁溪鄉監視系統租賃案,公開招標,財物類,111/04/27,1836000,1,,檢視,(租賃)&(監視),最有利標,1836000,X,,,2,聯禾有線電視股份有限公司,鼎順電腦有限公司,
縣市政府,宜蘭縣,公所,111,宜蘭縣冬山鄉公所,111-10-13,冬山鄉112年監視系統租賃（含維護管理）採購案,經公開評選或公開徵求之限制性招標,勞務類,111/12/29,3116880,1,,檢視,(租賃)&(監視),準用最有利標,,"擴充金額318萬2,400元整；擴充期間至113年12月31日止",3182400,,1,聯禾有線電視股份有限公司,,
縣市政府,宜蘭縣,公所,111,宜蘭縣員山鄉公所,1111208,員山鄉112年監視系統租賃案,經公開評選或公開徵求之限制性招標,勞務類,111/12/30,3055200,1,,檢視,(租賃)&(監視),準用最有利標,3055200,"擴充期間至113年12月31日，金額上限新臺幣6,566,400元整。",6566400,,1,聯禾有線電視股份有限公司,,
縣市政府,宜蘭縣,公所,112,宜蘭縣宜蘭市公所,112-A005,112年度宜蘭市東門夜市監錄系統租賃案開口契約,公開取得報價單或企劃書,財物類,112/03/09,244800,1,,檢視,(租賃)&(影像),參考最有利標精神,244800,"113年12月31日之權利，所須費用於每年度編列相關預算，預算金額新台幣48萬9,600元",489600,,1,聯禾有線電視股份有限公司,,
縣市政府,宜蘭縣,公所,112,宜蘭縣礁溪鄉公所,111-Kevin-01-1,112年度礁溪鄉監錄系統租賃案(後續擴充),限制性招標(未經公開評選或公開徵求),財物類,112/12/04,1938000,1,,檢視,(租賃)&(影像),原公告案號：111-Kevin-01,,,,,1,聯禾有線電視股份有限公司,,
縣市政府,宜蘭縣,公所,112,宜蘭縣冬山鄉公所,111-10-13-1,冬山鄉112年監視系統租賃（含維護管理）採購案後續擴充採購,限制性招標(未經公開評選或公開徵求),勞務類,112/12/20,3116880,1,,檢視,(租賃)&(監視),原公告案號：111-10-13,,,,,1,聯禾有線電視股份有限公司,,
縣市政府,宜蘭縣,公所,112,宜蘭縣員山鄉公所,1111208-1,員山鄉113年監視系統租賃案,限制性招標(未經公開評選或公開徵求),勞務類,113/01/02,3283200,1,,檢視,(租賃)&(監視),原案:1111208,,,,,1,聯禾有線電視股份有限公司,,
縣市政府,花蓮縣,縣市政府,111,花蓮縣政府,1100259831,光華樂活創意園區後期監視器系統租賃案,限制性招標(未經公開評選或公開徵求),財物類,111/01/17,949529,1,,檢視,(租賃)&(監視),,999504,,,,1,中華電信股份有限公司,,
縣市政府,花蓮縣,公所,111,花蓮縣豐濱鄉公所,1110000242,111-112年度轄管遊憩區等5處保全系統及監視器租賃案,公開取得報價單或企劃書,財物類,111/01/27,215000,1,,檢視,(租賃)&(監視),最低標,230000,"後續擴充期間為「112年度轄管遊憩區等5處保全系統及監視器租賃」，
金額及數量同於",230000,,1,中興保全科技股份有限公司,,
縣市政府,屏東縣,公所,111,屏東縣林邊鄉公所,111011,111-林邊鄉路口監視系統租賃案(含建置安裝工程),公開招標,財物類,111/04/21,2173668,1,,檢視,(租賃)&(監視),最低標,2441000,X,,,3,久盛科技有限公司,駿發通信工程行(合夥),展群企業行(獨資)
縣市政府,屏東縣,警察局,112,屏東縣政府警察局,1121115,113年天網計畫錄影監視系統後端網路及平台租賃案,公開招標,勞務類,112/12/25,8750000,1,,檢視,(租賃)&(監視),最低標,9000000,本局於(113)年度保有以決標單價，增、減30%租賃之權利,8750000,,1,中華電信股份有限公司,,
縣市政府,屏東縣,公所,111,屏東縣枋寮鄉公所,1101201,111年度枋寮鄉村里重要路口（道路）錄影監視系統服務租賃案,公開招標,財物類,111/01/03,1620000,1,,檢視,(租賃)&(監視),最低標,1780000,,,,2,元科資訊企業行,屏南有線電視股份有限公司,
縣市政府,屏東縣,公所,111,屏東縣潮州鎮公所,111-01-28,潮州鎮河川水位等錄影監視系統服務租賃案,公開取得報價單或企劃書,財物類,111/02/08,150000,1,,檢視,(租賃)&(監視),最低標,168000,,,,1,屏南有線電視股份有限公司,,
縣市政府,屏東縣,公所,111,屏東縣獅子鄉公所,1101207,屏東縣獅子鄉數位社區監視系統服務租賃案(案號1101207),經公開評選或公開徵求之限制性招標,勞務類,111/02/17,2491680,1,,檢視,(租賃)&(監視),準用最有利標,2575200,"新臺幣257萬5,200元(期間自本案簽訂契約日起至112年12月31日止、得擴充2次、每年擴充金額上限計新臺幣257萬5,200元，2次擴充金額總計新臺幣515萬400元)。",5150400,,1,屏南有線電視股份有限公司,,
縣市政府,屏東縣,公所,111,屏東縣潮州鎮公所,111-04-07-2,(111)潮州鎮轄區路口(道路)監視系統服務租賃案,公開取得報價單或企劃書,財物類,111/04/12,289920,1,,檢視,(租賃)&(監視),最低標,300000,本案擴充金額為15萬元,150000,,1,屏南有線電視股份有限公司,,
縣市政府,屏東縣,公所,111,屏東縣潮州鎮公所,111-07-06-1,「潮州鎮檨子里及四春里監視系統租賃服務財物採購」,公開取得報價單或企劃書,財物類,111/07/26,194964,1,,檢視,(租賃)&(監視),最低標,200000,擴充至採購金額上限,,,1,屏南有線電視股份有限公司,,
縣市政府,屏東縣,公所,111,屏東縣枋寮鄉公所,1111005,111年度枋寮鄉村里重要路口（道路）錄影監視系統服務租賃案,公開招標,財物類,111/11/23,412360,1,,檢視,(租賃)&(監視),最低標,422506,擴充期間自112年1月1日至112年12月31日止，擴充金額以112年預算額度為上限」；其價款以原契約條件之單價及價金付款,412360,,1,屏南有線電視股份有限公司,,
縣市政府,屏東縣,公所,111,屏東縣獅子鄉公所,1101207-1,屏東縣獅子鄉數位社區監視系統服務租賃案(第1次後續擴充),限制性招標(未經公開評選或公開徵求),勞務類,111/12/13,2491680,1,,檢視,(租賃)&(監視),原公告案號：1101207,,,,,1,屏南有線電視股份有限公司,,
縣市政府,屏東縣,公所,111,屏東縣佳冬鄉公所,1111116,112年度佳冬鄉重要路口(道路)錄影監視系統服務租賃案,公開招標,勞務類,111/12/16,1619280,1,,檢視,(租賃)&(監視),最低標,1620000,X,,,1,屏南有線電視股份有限公司,,
縣市政府,屏東縣,公所,111,屏東縣春日鄉公所,1111215,112年度屏東縣春日鄉監視錄影系統服務租賃案,公開取得報價單或企劃書,勞務類,111/12/21,949440,1,,檢視,(租賃)&(監視),參考最有利標精神,976000,X,,,1,屏南有線電視股份有限公司,,
縣市政府,屏東縣,公所,112,屏東縣新埤鄉公所,111-107,112年度屏東縣新埤鄉公所『數位社區監視系統服務租賃案』,限制性招標(未經公開評選或公開徵求),財物類,112/01/03,790000,1,,檢視,(租賃)&(監視),原公告案號：107-107,800000,,,,1,屏南有線電視股份有限公司,,
縣市政府,屏東縣,公所,112,屏東縣枋寮鄉公所,1111005-1,「111年度枋寮鄉村里重要路口（道路）錄影監視系統服務租賃案」（後續擴充）,限制性招標(未經公開評選或公開徵求),財物類,112/02/03,2474160,1,,檢視,(租賃)&(監視),原公告案號：1111005,,,,,1,屏南有線電視股份有限公司,,
