項次,相關的Solution,關鍵字,機關名稱,標案案號,標案名稱,傳輸次數,招標方式,採購性質,公告日期,截止投標,預算金額,詳細連結,機關代碼,單位名稱,機關地址,聯絡人,聯絡電話,電子郵件信箱,標的分類,採購金額級距,辦理方式,決標方式,招標狀態,開標時間,開標地點,是否訂有底價,履約地點
1,共杆,樞紐,高雄市政府工務局公園處,11501CA018,高雄市『三民綠十字生態樞紐營造計畫』-三民公園(第二期)改造工程,1,公開招標,工程類,115/05/08,115/05/21 17:00,"98,283,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMDc2MzM=,3.97.11.5,高雄市政府工務局公園處公園工程科,802 高雄市 苓雅區 四維三路2號5樓,公園工程科 陳美君,(07) 3368333 #2377,chen2014@kcg.gov.tw,工程類 5137 - 運動及娛樂工程,查核金額以上未達巨額,自辦,最有利標,第一次公開招標,115/05/22 09:30,802高雄市苓雅區四維三路2號5樓本處開標室,否,高雄市(非原住民地區)
2,路燈,路燈,新竹市政府,115A060,115年新竹漁港路燈修繕及監視系統設置工程,1,公開招標,工程類,115/05/08,115/05/18 17:00,"13,899,997元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTUxOTI=,3.76.58,產業發展處,300 新竹市 北區 中正路120號,陳淮岷,(03) 5216121 #382,04898@ems.hccg.gov.tw,工程類 5169 - 其他安裝工程,公告金額以上未達查核金額,自辦,最低標,第一次公開招標,115/05/19 10:30,300新竹市中正路120號本府開標中心,是,新竹市(非原住民地區)
3,路燈,路燈,屏東縣枋寮鄉公所,115A11,115年度枋寮鄉路燈零星設置及修繕工程(開口契約),1,公開取得報價單或企劃書,工程類,115/05/08,115/05/13 17:00,"1,268,654元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ5NDc=,3.76.53.66,屏東縣枋寮鄉公所,940 屏東縣 枋寮鄉 枋寮村德興路36號,黃建耀,(08) 8782012 #35,flu49@mail.fangliau.gov.tw,工程類 5164 - 電力工程,未達公告金額,自辦,最低標,第一次公開取得,115/05/14 09:30,940屏東縣枋寮鄉保生村海邊路6號,是,屏東縣(非原住民地區)
4,路燈,路燈,花蓮縣吉安鄉公所,wu1150504,115年度全鄉路燈維修工程(開口契約)二期,1,公開招標,工程類,115/05/08,115/05/21 09:00,"4,000,575元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ5MDA=,3.76.55.55,花蓮縣吉安鄉公所建設課,973 花蓮縣 吉安鄉 吉安村吉安路二段116號,吳印浴,(03) 8523126 #120,wuw511@nt.ji-an.gov.tw,工程類 5164 - 電力工程,公告金額以上未達查核金額,自辦,最低標,第一次公開招標,115/05/21 10:00,973花蓮縣吉安鄉吉安村吉安路二段116號本所二樓簡報室(得視開標日廳舍使用情況調整開標地點),是,花蓮縣(原住民地區)
5,路燈,路燈,新竹市政府,115A059,115年新竹漁港路燈修繕及監視系統設置工程委託監造服務,1,公開取得報價單或企劃書,勞務類,115/05/08,115/05/18 17:00,"575,255元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ3NDc=,3.76.58,產業發展處,300 新竹市 北區 中正路120號,陳淮岷,(03) 5324900 #382,04898@ems.hccg.gov.tw,勞務類 522 - 土木工程施工服務,未達公告金額,自辦,參考最有利標精神,第一次公開取得,115/05/19 10:30,300新竹市中正路120號本府開標中心,是,新竹市(非原住民地區)
6,路燈,路燈,南投縣信義鄉公所,F115-2,114信義鄉投91線沿線路燈改善工程,1,公開招標,工程類,115/05/08,115/05/18 17:00,"1,794,500元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ2ODc=,3.76.48.62,道路養護所,556 南投縣 信義鄉 明德村玉山路四十七號,史靖可,(049) 2792487,buni2211@yahoo.com.tw,工程類 5169 - 其他安裝工程,公告金額以上未達查核金額,自辦,最低標,第一次公開招標,115/05/19 10:00,556南投縣信義鄉明德村玉山路四十七號,是,南投縣信義鄉(原住民地區)
7,路燈,路燈,雲林縣斗南鎮公所,115030,115年度斗南鎮轄內路燈增設、修繕遷移工程(開口契約),1,公開招標,工程類,115/05/08,115/05/21 09:00,"1,723,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQ0NDY=,3.76.49.52,雲林縣斗南鎮公所公用課,630 雲林縣 斗南鎮 文昌路２００號,吳世杰,(05) 5973111 #133,bidding@mail.dounan.gov.tw,工程類 5159 - 其他專業工程,公告金額以上未達查核金額,自辦,最低標,第一次公開招標,115/05/21 09:30,本所3樓發包中心,是,雲林縣(非原住民地區)
8,路燈,路燈,嘉義縣六腳鄉公所,1150424,六腳鄉115年度轄內路燈新設、遷移、災害及緊急事故排除工程(開口契約),2,公開取得報價單或企劃書,工程類,115/05/08,115/05/12 09:00,"950,450元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQxMjI=,3.76.50.58,嘉義縣六腳鄉公所,615 嘉義縣 六腳鄉 蒜頭村72號,沈柏宏,(05) 3801121 #231,cyhgcd72@mail.cyhg.gov.tw,工程類 5139 - 其他土木工程,未達公告金額,自辦,最低標,第二次及以後公開取得,115/05/12 10:00,本所三樓會議室,是,嘉義縣(非原住民地區)
9,路燈,路燈,國立屏東大學,115E02S,115年度民生校區路燈改善工程技術服務,1,公開取得報價單或企劃書,勞務類,115/05/08,115/05/14 17:00,"480,000元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMTQxMDc=,A.9.6J,國立屏東大學,900 屏東縣 屏東市 民生路4-18號,郭泰億,(08) 7663800 #13409,terrykho@mail.nptu.edu.tw,勞務類 8672 - 工程服務,未達公告金額,自辦,參考最有利標精神,第一次公開取得,115/05/15 09:00,本校民生校區五育樓1樓營繕組辦公室,是,屏東縣(非原住民地區)
10,路燈,路燈,臺北市政府工務局公園路燈工程管理處,115C014,臺北市路燈換裝暨維護案（A項-B項）,1,公開招標,勞務類,115/05/08,115/05/19 09:20,"2,129,490,954元",https://web.pcc.gov.tw/prkms/urlSelector/common/tpam?pk=NzEyMDM4NDk=,3.79.11.3,路燈工程隊/工務科,100 臺北市 中正區 懷寧街109號,何明峰／謝紫筠,(02) 23815132 #372,db-13442@gov.taipei,勞務類 97 - 其他服務,巨額,自辦,最有利標,第一次公開招標,115/05/19 10:00,100004臺北市中正區懷寧街109號(本處開標室),否,臺北市(非原住民地區)
